Car Make;Car Model;Year;Engine Size (L);Horsepower;Torque (lb-ft);0-60 MPH Time (seconds);Price (in USD)
Porsche;911;2022;3;379;331;4;101200
Lamborghini;Huracan;2021;5.2;630;443;2.8;274390
Ferrari;488 GTB;2022;3.9;661;561;3;333750
Audi;R8;2022;5.2;562;406;3.2;142700
McLaren;720S;2021;4;710;568;2.7;298000
