Car Make;Car Model;Year;Engine Size (L);Horsepower;Torque (lb-ft);0-60 MPH Time (seconds);Price (in USD)
Chevrolet;Corvette;2021;6.2;490;465;2.8;59900
Ford;Mustang Shelby GT500;2022;5.2;760;625;3.5;81000
Dodge;Challenger SRT Hellcat;2022;6.2;717;656;3.5;61000
Jaguar;F-Type;2022;3;296;295;5.4;70100
Lexus;LC 500;2021;5;471;398;4.4;92950
